label	q	orig_len	orig_ops	u3_len	u3_ops	rxrz_len	rxrz_ops
64_40	64	3758	{'cx': 1573, 'rz': 1206, 'rx': 979}	3051	{'cx': 1573, 'u3': 1478}	3758	{'cx': 1573, 'rz': 1206, 'rx': 979}
104_49	104	26361	{'rz': 10645, 'rx': 10310, 'cx': 5406}	15985	{'u3': 10579, 'cx': 5406}	26361	{'rz': 10645, 'rx': 10310, 'cx': 5406}
48_42	48	20733	{'rz': 9425, 'rx': 7087, 'cx': 4221}	12547	{'u3': 8326, 'cx': 4221}	20733	{'rz': 9425, 'rx': 7087, 'cx': 4221}
56_43	56	23004	{'rz': 10286, 'rx': 8034, 'cx': 4684}	13917	{'u3': 9235, 'cx': 4682}	23001	{'rz': 10285, 'rx': 8034, 'cx': 4682}
64_44	64	28787	{'rz': 11927, 'rx': 11016, 'cx': 5844}	17389	{'u3': 11545, 'cx': 5844}	28785	{'rz': 11925, 'rx': 11016, 'cx': 5844}
72_45	72	28777	{'rz': 11841, 'rx': 11084, 'cx': 5852}	17397	{'u3': 11545, 'cx': 5852}	28773	{'rz': 11838, 'rx': 11083, 'cx': 5852}
80_46	80	34586	{'rz': 14395, 'rx': 13161, 'cx': 7030}	20898	{'u3': 13868, 'cx': 7030}	34583	{'rz': 14393, 'rx': 13160, 'cx': 7030}
88_47	88	37660	{'rz': 15403, 'rx': 14603, 'cx': 7654}	22764	{'u3': 15110, 'cx': 7654}	37658	{'rz': 15402, 'rx': 14602, 'cx': 7654}
96_48	96	28703	{'rz': 12036, 'rx': 10801, 'cx': 5866}	17406	{'u3': 11540, 'cx': 5866}	28702	{'rz': 12036, 'rx': 10800, 'cx': 5866}
