marginal_native_native	1011001100010011000101010011110111000000000011010001100011110010
marginal_spectral_spectral	1011001100010011000101010011110111001000000011010001100011110010
old_rejected	0001000111010011100110010011110111000000100011010001101010110010
tree_rejected	1011001100010011000101011011110101001000000011010000100011110010
weakvar_q10	1011001100010011000101010011110111001000000011010001010011110010
weakvar_q10_q12	1011001100010011000101010011110111001000000011010000010011110010
weakvar_q10_q12_q27	1011001100010011000101010011110111000000000011010000010011110010
weakvar_q10_q12_q27_q37	1011001100010011000101010001110111000000000011010000010011110010
weakvar_q10_q12_q27_q37_q38	1011001100010011000101010101110111000000000011010000010011110010
weakvar_q10_q12_q27_q38	1011001100010011000101010111110111000000000011010000010011110010
weakvar_q10_q12_q37	1011001100010011000101010001110111001000000011010000010011110010
weakvar_q10_q12_q37_q38	1011001100010011000101010101110111001000000011010000010011110010
weakvar_q10_q12_q38	1011001100010011000101010111110111001000000011010000010011110010
weakvar_q10_q15	1011001100010011000101010011110111001000000011011001010011110010
weakvar_q10_q15_q12	1011001100010011000101010011110111001000000011011000010011110010
weakvar_q10_q15_q12_q27	1011001100010011000101010011110111000000000011011000010011110010
weakvar_q10_q15_q12_q27_q37	1011001100010011000101010001110111000000000011011000010011110010
weakvar_q10_q15_q12_q27_q37_q38	1011001100010011000101010101110111000000000011011000010011110010
weakvar_q10_q15_q12_q27_q38	1011001100010011000101010111110111000000000011011000010011110010
weakvar_q10_q15_q12_q37	1011001100010011000101010001110111001000000011011000010011110010
weakvar_q10_q15_q12_q37_q38	1011001100010011000101010101110111001000000011011000010011110010
weakvar_q10_q15_q12_q38	1011001100010011000101010111110111001000000011011000010011110010
weakvar_q10_q15_q27	1011001100010011000101010011110111000000000011011001010011110010
weakvar_q10_q15_q27_q37	1011001100010011000101010001110111000000000011011001010011110010
weakvar_q10_q15_q27_q37_q38	1011001100010011000101010101110111000000000011011001010011110010
weakvar_q10_q15_q27_q38	1011001100010011000101010111110111000000000011011001010011110010
weakvar_q10_q15_q37	1011001100010011000101010001110111001000000011011001010011110010
weakvar_q10_q15_q37_q38	1011001100010011000101010101110111001000000011011001010011110010
weakvar_q10_q15_q38	1011001100010011000101010111110111001000000011011001010011110010
weakvar_q10_q15_q42	1011001100010011000100010011110111001000000011011001010011110010
weakvar_q10_q15_q42_q12	1011001100010011000100010011110111001000000011011000010011110010
weakvar_q10_q15_q42_q12_q27	1011001100010011000100010011110111000000000011011000010011110010
weakvar_q10_q15_q42_q12_q27_q37	1011001100010011000100010001110111000000000011011000010011110010
weakvar_q10_q15_q42_q12_q27_q37_q38	1011001100010011000100010101110111000000000011011000010011110010
