session	challenge	difficulty	qubits	method	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	validation	status	source_path	notes
quantum_peak_session	40_16	easy	40	quimb_fast_cpu	collector_evidence:40_16:3	collector_evidence	3	0101110101001110011000111011100110010110	sample_fraction	0.50390625			0.50390625	1	unknown	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-40_16.quimb_tree_graph_mps.json	collector priority 50
quantum_peak_session	40_17	easy	40	quimb_fast_cpu	collector_evidence:40_17:4	collector_evidence	4	0010010101010111001001000010001000001001	sample_fraction	0.5546875			0.5546875	1	unknown	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-40_17.quimb_tree_graph_mps.json	collector priority 50
quantum_peak_session	48_20	easy	48	quimb_fast_cpu	collector_evidence:48_20:3	collector_evidence	3	101010100101001010000110101000001011110010000000	sample_fraction	0.654296875			0.654296875	1	unknown	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-48_20.quimb_tree_graph_mps.json	collector priority 50
quantum_peak_session	48_21	easy	48	quimb_fast_cpu	collector_evidence:48_21:3	collector_evidence	3	111010101110101011110101000001101000100000001001	sample_fraction	0.458984375			0.458984375	1	unknown	unknown	outputs/tree_tensor_sim/fast_cpu/json/challenge-48_21.quimb_tree_graph_mps.json	collector priority 50
quantum_peak_session	16_28	moderate	16	quimb_fast_cpu	collector_evidence:16_28:4	collector_evidence	4	1101001111011100	sample_fraction	0.458984375			0.458984375	1	correct	correct	outputs/tree_tensor_sim/fast_cpu/json/challenge-16_28.quimb_tree_graph_mps.json	collector priority 50
